44,142,24,62,24,d
110,76,40,74,24,a
94,62,92,140,36,a
56,192,130,46,78,a
300,52,52,26,216,a
212,52,52,28,126,w
228,58,46,40,58,w
272,76,30,50,300,d
208,70,38,44,30,w
196,64,42,40,34,w
174,54,50,34,40,w
158,42,60,28,46,a
42,60,40,98,56,d
44,42,66,52,164,d
68,48,110,44,30,w
94,56,154,40,300,d
128,82,40,48,156,d
42,122,300,70,66,d
84,44,110,116,38,d
272,58,42,50,26,d
294,70,36,46,28,w
252,66,38,44,30,w

126,26,76,18,54,w
78,22,178,20,56,a
46,22,142,24,58,w
56,30,130,32,50,w
58,50,86,58,124,w
54,52,68,68,102,w
46,72,38,140,50,a
94,178,44,300,30,a
60,300,102,92,48,a
44,128,142,58,88,w
44,124,146,60,96,w
60,114,28,58,114,w
84,100,28,50,28,w
300,66,40,44,30,w
300,66,38,44,30,w
272,62,42,42,32,w
224,58,46,38,36,w
180,52,50,36,38,w
136,50,52,34,40,w
52,42,122,48,56,a
36,46,56,104,300,w
34,44,54,130,300,w
32,40,50,160,288,w
30,36,44,192,240,w
24,32,40,216,196,w
22,28,36,216,150,w
40,84,34,108,48,a
126,40,60,38,42,a
28,44,140,98,74,a
