274,94,216,54,94,32,42,w
246,100,296,58,90,34,40,w
216,108,256,64,84,36,38,w
128,70,168,36,190,18,54,w
112,70,150,36,174,18,54,w
86,58,120,36,146,18,54,w
50,38,70,28,96,22,54,w
40,36,50,34,64,38,134,w
36,36,40,36,44,62,88,w
42,44,40,50,38,126,52,w
58,68,50,86,44,44,40,w
96,114,82,134,68,38,42,w
140,34,126,32,108,132,56,w
34,48,32,116,36,68,90,w
82,170,56,300,46,38,136,w
300,230,112,76,70,30,44,w
300,132,142,58,84,26,48,w
174,62,300,40,126,26,48,a
218,144,132,74,68,38,34,w
180,130,258,74,68,38,34,w
140,106,198,74,68,38,34,w
100,78,142,62,280,38,34,w
36,34,38,38,44,84,224,a
30,30,32,34,36,160,288,w
30,30,30,34,34,188,258,w
30,30,30,34,34,224,218,w
28,30,30,34,34,262,176,w
30,30,30,34,36,300,134,w
28,28,30,32,34,300,92,w
50,66,40,102,34,56,32,a
236,40,150,36,118,170,50,w
36,40,42,62,194,78,76,w
62,130,44,220,38,48,122,w
166,220,88,100,56,38,40,w
154,192,106,78,68,36,38,w
120,150,90,180,68,34,40,w
72,90,60,114,52,34,44,d
40,40,40,44,42,102,86,d
42,36,48,36,58,52,170,d
118,84,150,62,184,30,44,d
34,50,30,170,30,66,140,w
30,32,30,40,36,90,102,d
82,40,208,30,248,46,54,d
128,62,176,40,204,26,48,w
108,72,140,48,164,30,44,w
58,50,70,42,84,40,62,a
40,42,40,44,42,90,72,a
64,86,46,110,38,46,30,a
148,176,124,56,94,194,30,a
48,62,50,300,68,66,76,a
70,300,42,220,36,54,130,w
96,300,52,192,38,48,152,w
124,300,68,158,48,40,36,w
284,128,152,66,80,34,40,a
210,128,152,66,80,34,40,w
172,122,202,66,80,34,40,w
130,100,156,66,176,34,40,w
38,38,40,38,44,62,102,a
44,52,40,62,36,228,42,a
96,114,80,132,66,32,42,w
120,138,100,52,80,30,44,w
126,148,98,72,74,30,44,w
152,184,104,84,64,36,38,a
140,58,230,38,138,26,48,w
262,76,206,42,106,24,50,w
194,262,98,88,68,26,50,w
120,300,60,154,42,44,120,w
144,52,124,46,102,104,40,d
52,70,40,92,32,52,22,d
28,32,26,38,28,94,42,d
44,40,48,40,54,54,102,w
60,50,72,44,86,38,40,d
120,102,136,80,58,40,34,w
158,134,80,102,48,44,30,w
200,90,246,56,96,34,40,d
300,152,128,74,70,36,38,w
48,38,76,40,210,100,54,a
52,80,42,190,40,50,104,w
190,166,68,128,52,34,230,w
130,98,154,64,180,24,48,a
60,44,80,34,106,28,48,a
40,44,40,48,38,112,58,a
82,98,68,112,58,32,40,w
94,112,78,128,64,34,40,w
118,140,94,156,68,34,38,w
148,174,110,74,68,36,38,w
186,216,120,76,68,36,36,w
222,162,118,78,66,38,36,w
260,170,110,82,62,40,34,w
170,86,300,60,106,44,30,a
32,30,42,34,92,96,70,w
30,36,32,62,44,78,84,w
70,144,48,300,38,46,160,a
278,96,206,56,92,32,42,w
266,100,200,58,90,34,40,w
242,106,184,62,86,36,38,w
208,112,158,66,80,38,36,w
164,186,126,70,74,40,34,w
88,112,66,132,50,44,30,d
40,42,42,44,44,72,78,d
68,58,80,50,96,40,34,d
118,104,142,90,34,48,158,w
136,124,36,110,36,56,122,w
42,40,56,138,98,80,62,w
84,58,174,46,300,120,38,w
148,88,286,66,122,60,24,d
284,210,66,108,36,54,18,d
56,272,34,228,26,56,22,d
118,56,162,34,190,20,54,w
